ID_Etudiant,Nom,Classe_ID,Notes,Absences
69,James Brown,46,0.71,20
70,William Baker,5,14.16,12
71,Jordan Henderson,3,11.44,2
72,Whitney Peters,43,3.8,14
73,Brittney Phillips,15,14.53,20
74,Lauren Daniels,50,4.45,12
75,Amy Silva,19,10.69,8
76,Sarah Moore,6,15.7,20
77,Angela Lopez,15,18.13,20
78,Megan Young,7,13.44,14
79,Steve Sanchez,25,10.15,11
80,Lisa Barnes,18,16.91,0
81,Kelly Donovan,30,16.81,3
82,Mike Allen,41,17.53,3
83,Michael Evans,24,3.62,2
84,Paul Jones,11,1.95,3
85,Zachary Ferrell,24,2.56,15
86,Daniel Baker,23,5.17,20
87,Shirley Suarez,14,16.17,16
88,Christopher Bass,43,15.26,7
89,Lisa Archer,18,3.66,0
90,Aimee Montoya,45,13.59,18
91,Matthew Mcmillan,44,6.71,18
92,Brian Rodriguez,42,1.79,18
93,Denise Jacobs,5,7.11,15
94,Christina Walters,39,14.88,8
95,John Whitehead,41,6.14,3
96,Anna Henderson,11,15.76,18
97,Aaron Wise,35,6.63,5
98,Deborah Figueroa,47,5.21,12
99,Jessica Smith,16,5.88,15
100,Stephen Mckee,11,17.02,20
101,Sandra Aguilar,30,9.41,13
102,Cameron Parker,25,17.33,9
103,Rebecca Valencia,18,11.67,18
104,Christine Wright,41,18.89,4
105,Richard Henson,45,1.42,3
106,Marc Moore,36,17.79,10
107,Sharon Cherry,15,10.01,2
108,Sierra Johnson,44,17.35,17
109,Evelyn Galvan,21,7.63,5
110,Sharon Cochran,50,5.97,12
111,Richard Rodriguez,50,1.08,0
112,Shannon Walker,4,17.08,12
113,Julia Torres,15,2.75,17
114,Crystal Johnson,3,4.01,17
115,Garrett Lin,21,8.18,16
116,Diana May,26,11.39,15
117,William Herrera,18,18.13,2
118,Ashley Waller,5,9.15,16
119,Victor Baker,14,6.33,18
120,Jeffrey Chandler,37,14.31,17
121,Larry Dixon,46,15.58,20
122,Kenneth Scott,21,9.75,3
123,April Frost,14,12.62,6
124,Michelle Harmon,42,3.54,3
125,Helen Jones,32,12.69,5
126,Erin Edwards,26,0.09,19
127,Michelle Evans,42,5.47,5
128,Jason Powell,30,15.22,0
129,Cameron Fisher,10,3.37,17
130,Megan Orr,17,15.29,14
131,Elizabeth Kelley,9,9.79,10
132,Dustin Jordan,16,15.27,3
133,Mary Marshall,48,1.76,1
134,Daniel Kennedy,36,12.29,4
135,Rebecca Jackson,35,12.67,18
136,Jose Schultz,17,8.07,6
137,Robert Potter,48,19.31,20
138,Courtney Gonzalez,38,7.67,5
139,David Alvarez,28,0.75,2
140,Angel Perry,38,3.99,17
141,Cheyenne Horton,26,7.46,8
142,David Douglas Jr.,24,0.28,1
143,Patricia Rodriguez,15,6.44,2
144,Christopher Rubio,9,16.66,3
145,Amber Wright,33,3.81,16
146,Joyce Solis,32,13.53,9
147,Victoria Larson,6,12.53,11
148,Stephanie Salazar,49,4.98,17
149,Kathy Rivas,4,13.87,5
150,Stephanie Manning,8,6.89,13
151,David Wright,10,2.58,0
152,Pamela Boyd,41,7.67,7
153,Denise Jones,11,11.77,9
154,Devon Flores,44,3.34,1
155,Brenda Hall,28,16.48,16
156,Michelle Brown,39,5.96,9
157,Joshua Perry,5,5.82,17
158,Jason Stein,25,14.56,14
159,Melissa Gates,25,11.93,4
160,Jamie Smith,39,6.76,18
161,Paul Castaneda,30,17.76,15
162,Jennifer Adkins,34,19.91,10
163,Lindsey Walker,17,6.85,16
164,Jeffrey Johnson,36,18.03,11
165,Michael Powell,1,7.19,19
166,John Anderson,44,3.77,17
167,Alyssa Long,47,18.96,16
168,Alyssa Day,8,18.36,6
169,Joel Williams,44,8.07,3
170,Daniel Murphy,35,4.57,1
171,Jamie Walton,49,14.54,7
172,Darlene Miller,18,2.62,1
173,Joshua Cooke,50,14.68,6
174,Matthew Harrington,42,11.79,4
175,Nicole Herring,22,3.38,9
176,Alex Hernandez,8,7.33,6
177,Michael Elliott,19,13.01,4
178,Michael Wang,28,0.75,19
179,Lawrence Adkins,11,17.53,17
180,Robert Oconnell,30,5.12,6
181,Alexander Collins,1,10.69,18
182,Tina Sanders,47,0.97,11
183,Angela Vaughn,47,19.89,8
184,Ashley Barton,17,13.24,4
185,Lindsay Martinez,33,13.07,19
186,Dr. Hannah Patterson,49,0.39,13
187,Jonathan Peterson,12,13.79,2
188,Samantha Garcia,33,8.34,17
189,Madison Poole,7,7.61,8
190,Jessica Gross,41,10.95,8
191,Debra Morton,20,9.49,12
192,Karen Graham,41,3.06,20
193,Debra Christian,33,13.9,5
194,Angelica Keith,39,12.61,12
195,John Bishop,13,6.02,14
196,Allen Rosales,10,13.23,2
197,Daniel Salinas,24,13.25,8
198,Spencer Haynes,49,5.4,13
199,Adam Vaughan,11,12.11,4
200,Nathan Freeman,35,2.74,17
201,Melissa Brewer,50,16.61,6
202,Ricky Davis II,34,2.1,2
203,Elizabeth Perkins,1,14.38,20
204,Joseph Coleman,39,2.35,8
205,Erin Warner,21,2.28,20
206,David Martinez,32,2.13,20
207,Bryan Herrera,2,3.97,6
208,Cathy Robinson,8,3.99,11
209,Dr. William Warren,24,5.26,18
210,Brian Lee,20,10.46,20
211,Christopher Smith,16,4.03,16
212,Denise Mccann,4,14.07,19
213,Melissa Martinez,16,5.91,5
214,Katherine Salas,37,0.79,13
215,Julie Alexander,6,9.93,4
216,Anthony Everett,6,4.15,10
217,Rodney Morales,47,18.66,13
218,Mark Brown,32,6.61,12
219,Justin Torres,5,0.05,0
220,Bailey Duran DDS,49,13.43,19
221,Courtney Mills,35,18.14,7
222,Jeremy Dalton,50,16.7,2
223,Elizabeth Oliver DDS,9,13.38,8
224,Theresa Clark,9,2.98,3
225,Matthew Moore,43,1.8,17
226,Benjamin Smith,31,10.23,3
227,Kirk Carter,36,14.47,17
228,Michael Warner,11,2.03,13
229,Michael Bradshaw,17,5.12,2
230,Lori Guerrero,34,4.62,10
231,Jessica Stephens,39,19.77,20
232,Susan Serrano,28,5.92,2
233,Christopher Parker,14,9.29,11
234,Laura Roberts,35,2.0,10
235,Michael Lyons,49,3.49,8
236,Kathryn Snyder,47,0.79,4
237,Andrew Reynolds,45,5.81,7
238,David Davis,13,16.03,8
239,Sara Johnston,46,6.25,0
240,Yvonne Chambers,20,14.77,3
241,Andrew Avila,26,1.9,12
242,Matthew Moon,43,15.16,7
243,Kevin Walters,42,0.92,12
244,Brandon Bailey MD,24,17.04,3
245,Shannon Rivera,29,13.27,3
246,Donna Landry,34,3.41,5
247,Krista Gibson,29,7.15,16
248,Frank Cordova,8,8.75,9
249,Jose Travis,16,12.44,18
250,Kimberly Gutierrez,15,17.57,15
251,Isaiah Avila,5,1.86,3
252,Olivia Harris,22,16.3,16
253,Tanya Kim,2,3.66,11
254,Barbara Dudley,38,8.02,18
255,Cynthia Moore,36,19.25,9
256,Kristen Davis,15,5.44,17
257,Susan Murray MD,38,7.71,8
258,Kathleen Moran,15,17.01,19
259,Denise Davenport,1,16.0,3
260,Mrs. Kristen Reyes,5,12.98,1
261,Katie Suarez,46,15.94,5
262,Desiree Tyler,41,2.26,10
263,Timothy Romero,4,13.92,12
264,Diane Evans,15,1.17,5
265,Yvonne Burns,5,18.85,11
266,Joshua Reed,3,3.19,17
267,Kimberly Gibson,22,8.32,17
268,Colin Terry,5,11.82,19
269,Cynthia Rowe,33,16.05,12
270,Patrick Thornton,16,13.57,15
271,Jasmin Alvarado,18,3.63,18
272,Veronica Simpson,43,7.6,4
273,Jonathan Lawrence,32,7.17,8
274,Shelly Alexander,14,0.58,0
275,Joyce Bowen,35,13.69,16
276,Matthew Moore,9,16.77,4
277,Wayne Morgan,47,19.47,4
278,Marie Christian,37,2.61,4
279,Shannon James,37,18.41,12
280,Nathan Malone,31,2.26,18
281,Amanda Jones,16,8.23,8
282,Tammie Bright,31,0.92,1
283,Jessica Garcia,27,5.23,20
284,Shelia Wallace,13,6.28,11
285,Stephanie Williams,7,14.09,7
286,Elaine Brooks,7,13.56,19
287,Joseph Knight,43,15.35,13
288,Carolyn Miller,28,11.53,14
289,Lisa Allen,23,11.3,5
290,Briana Murray,28,19.56,14
291,David Smith,27,13.4,11
292,Stephanie Byrd,30,6.77,14
293,Jeremy Reed,47,10.46,16
294,Margaret Coleman,4,14.01,9
295,Ryan Gonzalez,44,1.9,8
296,John Young,42,13.23,13
297,Laura Haney,42,4.97,16
298,William Barrett,7,6.91,7
299,Keith Jennings,4,13.53,9
300,Amber Obrien,26,7.7,20
301,Tanner Mitchell DDS,47,16.78,2
302,Heather Fields,22,11.17,9
303,Megan Le,7,19.76,13
304,Sara Fuller,16,1.09,10
305,Maria Parker,13,12.87,2
306,Kevin Oconnor,13,3.14,20
307,Edward Burgess,35,16.98,2
308,Carlos Ryan,29,17.04,2
309,Kiara Mcintyre,9,17.39,7
310,Dawn Summers,28,1.5,2
311,Dr. Paul Morgan,12,9.83,5
312,Victor Taylor,18,4.82,18
313,Shannon Ramsey,30,19.4,1
314,Tracy Ballard,16,1.01,2
315,Richard Smith,5,4.45,9
316,Jordan Chambers,29,12.87,17
317,Lauren Carson,36,8.07,15
318,Ashley Hall,7,4.7,0
319,Stephen Hoffman,4,9.18,13
320,Connie Brown,42,16.03,16
321,Susan Turner,35,8.96,4
322,Charles Shah,1,17.13,15
323,Johnathan Davis,6,8.94,15
324,Brandy Chavez,49,2.37,16
325,Natalie Bautista,16,9.95,17
326,Patrick Moore,11,13.07,3
327,Brett Burns,27,2.05,12
328,Trevor Johnson,32,8.25,0
329,Jeremy Sampson,31,11.14,19
330,Ariana Jennings,14,0.0,6
331,Vanessa Howard,26,1.82,0
332,Colton Martinez,4,12.08,13
333,Jordan Bates,11,12.38,17
334,Linda Smith,25,6.09,11
335,Dana Martinez,1,10.17,7
336,Andrea Hubbard,25,4.14,16
337,Daniel Kane,17,13.43,19
338,Charles Lester,30,19.01,1
339,Scott Thomas,19,7.27,19
340,David Thompson,28,1.09,14
341,Allison Smith,45,4.46,5
342,Cynthia Morris,47,9.09,16
343,Anthony Harmon,36,11.2,7
344,Nichole Alvarez,43,12.4,5
345,Kayla Rodriguez,46,9.46,2
346,Theresa Williams,32,13.14,11
347,Sharon Boyd,10,14.32,4
348,Victor Brown,13,2.28,16
349,James Parks,19,15.19,11
350,Theodore Jones Jr.,14,4.43,1
351,Ana Hill,4,6.83,13
352,Kimberly Nguyen,38,16.6,15
353,Kerry Chavez DDS,48,19.29,12
354,Michael Farrell,35,5.84,5
355,Patricia Le,4,10.44,11
356,Jesse Perez,48,14.04,3
357,Jesse Perry,21,0.92,10
358,Jeffery Ortega,4,3.28,7
359,Christian Leblanc,4,2.81,17
360,Ronald Davis,38,14.34,3
361,Parker Cain,31,14.43,9
362,Laurie Hoffman,33,2.14,9
363,Bryan Gomez,34,12.22,15
364,Nicole Parrish,11,3.75,9
365,Tracy Burke,4,18.6,8
366,Kenneth Lewis,33,7.86,6
367,Courtney Rodriguez,6,9.14,0
368,Holly Farmer,12,15.63,20
369,Renee Bruce,5,14.34,18
370,Sabrina Austin,39,2.16,12
371,Allison Hickman,5,8.29,6
372,Debra White,44,18.53,9
373,Ellen Morgan,16,16.75,20
374,Sergio Knight,26,11.78,16
375,Charles Schultz,8,15.44,1
376,Paul Lewis,37,9.01,14
377,Glen Wood,16,13.17,19
378,Paula Bradley,38,19.12,15
379,Anthony Moore,39,2.69,1
380,Megan Nelson,3,9.98,11
381,Karla Ramos,40,10.61,0
382,Paul Wilson,6,0.97,19
383,Douglas Gregory,27,18.71,14
384,Mr. Andrew Foster,43,16.78,10
385,Aimee Turner,38,9.66,9
386,Chad Scott,37,10.17,11
387,Adam Burgess,34,18.42,3
388,James Padilla,21,3.54,0
389,Sandra Drake,17,11.57,11
390,Scott Williams,14,14.61,5
391,Thomas Atkins,43,2.57,12
392,Laura Mckinney,46,7.75,11
393,Brian Smith,21,12.01,0
394,Robert Montgomery,16,17.65,3
395,Tamara Davis,17,10.08,13
396,Dana Chapman,26,7.69,15
397,Jennifer Collins,9,19.59,6
398,Gary Jackson,43,18.32,2
399,Ashley Hicks,42,15.25,16
400,Hannah Luna,20,5.47,16
401,Robin Young,30,19.27,4
402,Craig Morrison,21,19.41,13
403,Mary Thompson,49,9.06,3
404,Kathleen Webster,5,2.67,15
405,Joann Glass,1,8.25,0
406,Madison Weber,30,14.0,4
407,Lori Hernandez,40,14.97,8
408,Jeremy Turner,37,5.98,7
409,Anthony Romero,7,14.03,15
410,Jesse Brown,5,17.21,12
411,Angela Lin,35,14.24,11
412,Lisa Hunter,14,18.71,9
413,Julian Conner,33,12.65,11
414,Joanna Pacheco,17,4.02,13
415,Erica Alvarez,9,12.48,5
416,Antonio Garcia,23,5.81,17
417,Gwendolyn Klein,5,6.91,8
418,Carrie Wright,16,13.45,3
419,Jeffrey Mills,24,19.63,14
420,Jake Campbell,19,13.0,14
421,George Harper,11,19.17,5
422,Maria Jones,29,10.08,4
423,Michael Mitchell,35,13.89,11
424,Mary Escobar,46,6.45,13
425,Felicia Aguilar,20,2.31,0
426,Gregory Ponce,40,7.04,11
427,Jenna Larson,42,9.61,6
428,Emily Bennett,34,11.41,3
429,Robin Santiago,1,13.34,6
430,Nancy Jennings,43,8.35,9
431,Maria Henderson,36,14.96,1
432,Jack White,20,16.83,4
433,Travis Tucker,43,5.72,12
434,Chad Jones,7,16.95,13
435,Ashley Wise,9,16.17,10
436,Sophia Johnson,17,10.45,1
437,Ralph Anderson,8,0.51,5
438,Christopher Guerra,7,2.91,6
439,Rhonda Martin,48,13.41,15
440,Jason Rhodes,36,4.0,8
441,Jeremy Mitchell,10,15.0,3
442,Joann Ferguson,18,3.22,13
443,Robert Harrison,19,5.73,15
444,Holly Valentine,39,5.01,17
445,Mrs. Diane Reyes,14,16.79,15
446,Tracy Montoya,46,13.81,4
447,Brenda Wright,22,5.9,10
448,Shelly Spencer,14,15.07,12
449,Ryan Rosales,44,0.65,16
450,Phillip Nelson,41,16.28,12
451,Brittany Kim,17,2.05,4
452,Courtney Hayes,33,17.36,3
453,Alexander Brown,32,14.79,3
454,Cynthia Vang,17,17.3,0
455,Alfred Galvan,4,14.85,4
456,Marie Moody,6,11.23,4
457,Dustin Gallegos,41,4.75,11
458,Brenda Thornton,28,15.69,16
459,Aaron Miller,18,15.98,0
460,Ruben Dunn,3,5.75,7
461,Kelsey Rodriguez,1,13.29,1
462,Eric Williams,22,18.53,10
463,Riley Bryant,50,7.75,13
464,Taylor Carlson,9,19.13,19
465,Jose Allen,41,19.52,0
466,Jeffrey Mendez,17,6.25,13
467,Jason Beck,11,11.04,15
468,William Jones,48,0.26,9
469,Katie Mcneil,29,5.03,9
470,Jeanette Harrison,36,12.41,15
471,Veronica King,46,15.62,2
472,Richard Cooper,28,17.4,13
473,Lori Ingram,36,16.6,7
474,Evelyn Williams,1,18.23,19
475,Robin Thompson,8,14.09,4
476,Julie Dominguez,5,12.95,16
477,Robin Brown,45,15.1,5
478,Judith Carter,10,10.93,7
479,Curtis Williams,35,12.07,8
480,Kaylee Hays,3,15.52,3
481,Dawn Mullins,24,19.29,8
482,Howard Norman,38,5.88,7
483,Evelyn Martinez,36,3.55,13
484,Steve Paul,10,13.65,6
485,Jasmine Beltran,28,3.74,15
486,Jonathan Glass MD,9,3.48,3
487,Monica Miller,3,10.28,16
488,Samantha Gardner,20,7.54,19
489,Bobby Guerrero,24,8.57,5
490,Lance Simmons,3,11.13,6
491,Heather Williams,23,2.6,18
492,Heather Bolton,14,11.68,20
493,William Gould,44,5.1,20
494,Mark Cox,16,6.61,4
495,Meghan Cisneros,43,14.19,7
496,Lawrence Harrington,7,3.1,3
497,Austin Osborne,23,3.07,4
498,James Bradley,50,6.45,12
499,Meghan Rush,36,1.02,1
500,Phillip Berry,27,18.65,8
501,Jennifer Banks,40,12.31,6
502,Brian Fitzgerald,48,13.24,4
503,Mr. Justin Green III,10,9.81,13
504,Zachary Mitchell,16,11.45,0
505,Katherine Martinez,11,7.16,19
506,Jodi Roach,12,15.68,6
507,Brandon Fleming,27,6.36,2
508,Emma Reed,2,4.4,1
509,Joshua Vance,12,3.68,12
510,Michelle Ho,48,1.36,13
511,Rebecca Hicks,22,10.1,16
512,Curtis Taylor,27,8.32,9
513,Allison Spencer,43,10.74,20
514,Robert Arnold,48,1.84,7
515,Angelica Parker,16,4.42,7
516,Dr. Kelly Hammond DVM,18,4.27,10
517,William Day,11,6.64,13
518,Michael Cooper,45,7.22,15
519,Penny Bowman,7,4.37,1
520,Vincent Reynolds,25,15.05,16
521,Amy Martinez,3,10.61,13
522,Christopher Morris,31,19.93,20
523,Hannah Everett,15,16.47,1
524,Sarah King,13,19.62,9
525,Krista Martinez,30,0.18,3
526,Joseph Shaw,23,13.38,8
527,Todd Moore,20,8.91,11
528,Michelle Jacobs,15,18.09,8
529,Kristy Bryan,15,12.27,11
530,Angel May,2,12.42,13
531,Marilyn Wang,43,19.18,7
532,Mark Jimenez,13,13.65,10
533,Donna Frye,26,6.42,1
534,Dr. Michael Evans,22,18.32,5
535,Anthony Gonzales,18,18.9,1
536,Mr. Lawrence Edwards,5,7.72,0
537,Morgan Valencia,50,10.8,1
538,Bianca Wood,18,5.66,10
539,Emma Owens,23,18.23,6
540,David Davis,42,16.44,9
541,James Gilbert,33,7.5,15
542,Sean Moore,26,16.06,8
543,Kenneth Edwards,44,8.91,19
544,Kathleen Robertson,35,0.88,3
545,Mr. Alexander Landry MD,22,17.97,13
546,Cindy Gomez,2,3.85,5
547,Johnny Khan,8,10.28,8
548,Julie Herrera,17,18.96,15
549,Jessica Khan,12,3.35,11
550,Pamela Diaz,38,19.13,10
551,Kelly Lee,17,10.76,9
552,Angel Gordon,3,0.15,3
553,Diana Hays,7,1.31,3
554,Barbara Hester,39,13.41,0
555,Robert Morgan,28,15.47,17
556,Nicole Gonzalez,23,17.3,4
557,Kathryn Williams,47,8.48,10
558,Gary Wells,21,2.08,11
559,Larry Robertson,28,10.76,11
560,Louis Martin,39,14.05,18
561,Nancy Evans MD,33,19.52,16
562,Kim Erickson,8,15.5,19
563,Robert Richardson,25,12.93,11
564,Veronica Silva,37,18.8,7
565,Molly Watts,13,14.94,20
566,John Coffey,17,3.08,8
567,Paula Lane,3,9.18,6
568,Lauren Jackson,46,6.63,18
569,Lisa Randall,28,1.75,12
570,Michael Johnson,1,1.09,2
571,Ashley Smith,34,15.88,3
572,Christian Vaughn,35,11.16,4
573,Reginald Knapp,44,11.5,20
574,Nancy Brown,47,4.55,19
575,Daniel Nguyen,48,5.17,3
576,Kelly Edwards,48,7.76,1
577,Thomas Peterson,43,12.6,18
578,Raymond Le,13,8.66,20
579,Melissa Bishop,24,0.34,6
580,David Grant,28,13.47,6
581,William Evans,5,10.7,14
582,Daniel Bush,43,12.83,3
583,Gregory Peck,22,12.37,2
584,Denise Martinez,40,15.12,17
585,Jamie Baird,21,11.71,19
586,Tina Ballard,43,14.02,10
587,Dwayne Klein,8,1.45,9
588,Jeremy Scott,47,18.56,15
589,Dale Ryan,20,2.12,6
590,Melissa Taylor,33,15.74,17
591,Laurie Sanchez,20,6.03,4
592,Kiara Little,43,1.73,1
593,Jason Love,27,15.31,4
594,Randy Smith,21,8.75,6
595,Tanya Russell,26,7.9,13
596,Sherry Woods,45,13.21,17
597,Victor Morris,19,9.48,8
598,Susan Davis,36,10.67,17
599,Kimberly Sharp,9,2.73,11
600,Susan Thompson,13,7.82,11
601,Casey Gillespie,27,15.95,14
602,Jennifer Simpson DVM,43,10.91,20
603,Tammy Mcdowell,25,19.2,3
604,Keith Rodriguez,44,2.88,13
605,Mrs. Virginia Daniels,48,13.55,2
606,Todd Rosales MD,12,18.28,15
607,Brian Martin,40,15.9,13
608,David Lopez,37,14.59,16
609,Rachel Bradley,20,7.46,16
610,Casey Chase,26,18.99,0
611,Samantha Robertson,36,11.07,5
612,Michael Lopez,1,11.1,19
613,Franklin Wright,20,2.46,8
614,David Molina,19,0.1,4
615,Elizabeth Sharp,14,11.93,9
616,Matthew Schwartz,28,10.74,1
617,Bryan Parker,38,18.94,18
618,Jonathan Jacobson,39,6.09,1
619,Emily Wilson,42,14.97,6
620,Elizabeth Mendez,21,18.07,12
621,Casey Hernandez,30,6.88,15
622,Lisa Perry,29,8.25,17
623,Kaitlin Medina,29,12.92,16
624,Colleen Wright,44,10.25,2
625,Shelley Miller,14,3.22,5
626,Michael Miller,33,4.42,14
627,Amy Kelley,31,16.69,16
628,Laura Hernandez,48,3.89,12
629,Joseph Wilson,11,3.63,17
630,Kevin Davis,43,15.99,12
631,Rhonda Chavez,6,17.05,12
632,Joyce Brown,19,17.03,19
633,Robert Cummings,33,18.65,8
634,Robert Reese,43,19.89,6
635,Amber Cooper,41,9.23,5
636,Zachary Michael,40,10.99,0
637,Timothy Johnson,22,5.81,5
638,Randy Cannon,6,1.35,18
639,Maria Fisher,49,1.96,6
640,Janet Kane DVM,16,14.51,18
641,Michael Stanley,44,9.74,0
642,Martha Bailey,20,6.62,16
643,Joshua Rice,15,2.56,14
644,Courtney Smith,13,13.11,16
645,Edwin Nunez,10,2.0,16
646,Kim Morrow,2,12.39,8
647,Gregory Hill,3,18.0,9
648,Molly Rodriguez,16,6.36,7
649,Jennifer Miranda,31,9.01,9
650,Alexis Harris,40,12.33,8
651,Andrew Harper,50,6.11,17
652,Amber Yang,5,11.68,3
653,David Robinson,30,11.31,5
654,Amy Gordon,27,7.29,7
655,Robert Dennis,41,6.33,1
656,Kyle Chambers,37,8.57,17
657,Eric Thomas,13,0.1,7
658,Connie Turner,46,4.92,9
659,Travis Hobbs,45,4.43,1
660,Lori Simmons,25,14.8,20
661,William David DDS,32,8.72,4
662,Emma Butler,26,16.8,8
663,James Webster,16,2.69,4
664,Samuel Turner,10,14.66,8
665,Renee Melendez,42,17.56,1
666,Tracy Grant,45,9.26,20
667,David Harris,1,7.17,7
668,Tammy Boone,49,6.11,6
669,Nathaniel Lee,50,11.03,17
670,Michael Morrison,7,3.52,3
671,Chelsea Gill,50,12.13,0
672,Kristin Mendoza,28,16.84,20
673,Felicia Krueger,15,17.17,11
674,Timothy Hayden,12,2.8,20
675,Zachary Mendoza,45,10.77,19
676,Larry Harris,34,5.26,11
677,Kristen Rowe,30,17.73,10
678,Joseph Howard,4,1.53,2
679,Jose Crawford,36,1.51,17
680,William Harrison,16,0.37,8
681,Suzanne Wood,8,10.14,4
682,Justin Walker,30,0.62,13
683,Dean Donovan,9,11.64,19
684,Jennifer Hernandez,30,8.1,9
685,James Whitaker,43,11.8,10
686,Mr. Michael Scott PhD,34,18.13,1
687,Maria Henry,36,11.03,20
688,Robert Jackson,39,10.87,0
689,Katherine Stark,21,19.97,11
690,Maria Brown,49,9.44,7
691,Ryan Landry,29,15.5,8
692,Pamela Gutierrez,40,7.32,5
693,Crystal Mann,47,4.47,8
694,Jonathan Brooks,33,15.44,0
695,Mary Jensen,28,14.66,17
696,Mr. Aaron Arnold,36,5.82,18
697,Joseph Hill,29,9.29,3
698,Alicia Li,11,10.21,12
699,Renee Browning,48,7.94,20
700,Brent Hernandez,31,10.04,8
701,Joseph Ochoa,29,13.25,20
702,James Watson,17,16.96,20
703,Karl Branch,49,16.13,19
704,Michael Abbott,16,12.28,17
705,Shannon Malone,41,3.32,6
706,James Tran,18,10.28,14
707,Adam Jackson,50,8.92,7
708,Mr. Richard Knight PhD,50,3.58,10
709,Joseph Williams,34,18.97,8
710,Sean Clay,32,13.19,6
711,Anthony Jones,41,19.35,18
712,Stephanie Elliott,16,14.72,20
713,Timothy Edwards,18,9.67,12
714,Laurie Goodwin,29,7.18,4
715,Jennifer Jones,5,4.38,14
716,David Davenport,46,9.75,7
717,Steven Rivera,19,1.26,13
718,Brenda Hinton,16,7.39,11
719,Kathryn Mccann,18,0.86,4
720,Jeffrey Roberson,22,4.14,15
721,Randy Friedman,21,18.15,2
722,Raymond Johnson,35,7.23,15
723,Willie Henry,6,9.39,5
724,Todd Reynolds,9,9.09,14
725,Mary Miller,10,0.93,5
726,Rebecca Marquez,15,19.61,5
727,Christian Dawson,25,6.48,6
728,Nancy Stewart,45,14.07,18
729,Aaron Parker,10,10.43,15
730,Derrick Anderson,46,16.59,5
731,Jerry Peters,14,16.7,20
732,Alexander Gomez,5,5.27,9
733,Kyle Nguyen,27,10.89,0
734,Edgar Hughes,27,3.48,9
735,Steven Stein,22,13.07,5
736,Laura Jackson,35,7.31,5
737,Charles Turner,30,13.07,12
738,Arthur Hamilton MD,27,16.71,19
739,Mr. David Wright,4,10.33,6
740,Linda Gonzalez,14,7.53,2
741,Eric Rush,27,18.14,4
742,Manuel Brock,25,10.33,2
743,George Ochoa,50,7.06,13
744,Valerie Taylor,38,17.35,7
745,Travis Harris,45,9.74,14
746,Vincent Novak,2,9.64,20
747,Michael Henry,49,12.08,12
748,Dana Bennett,37,10.04,3
749,Jenna Wilson,25,2.78,16
750,Leslie Gardner,31,3.31,4
751,Krista Benton,1,1.54,0
752,Michael Gonzales,23,12.87,19
753,Michael Fuentes,20,4.23,3
754,Jennifer Porter,49,3.74,12
755,Dana Hopkins,25,7.24,12
756,Rachel Jones,27,14.35,0
757,Karen Morales DDS,35,2.37,3
